127.0.0.1 - - [14/Dec/2022:16:34:42 +0900] "GET / HTTP/1.1" 200 49229
0:0:0:0:0:0:0:1 - - [14/Dec/2022:16:34:43 +0900] "GET /WEB-INF/passenger/insertPassenger.jsp HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Dec/2022:16:34:43 +0900] "GET /favicon.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:16:34:50 +0900] "GET / HTTP/1.1" 200 49229
0:0:0:0:0:0:0:1 - - [14/Dec/2022:16:34:50 +0900] "GET /resources/images/search.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:16:34:50 +0900] "GET /resources/images/left_btn.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:16:34:50 +0900] "GET /resources/images/X.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:16:34:50 +0900] "GET /resources/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:16:34:50 +0900] "GET /resources/images/arrow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:16:34:50 +0900] "GET /resources/images/right_btn.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:16:34:50 +0900] "GET /resources/images/Winter.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:16:34:50 +0900] "GET /resources/images/mainImg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:16:34:50 +0900] "GET /resources/images/busan.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:16:34:50 +0900] "GET /resources/images/m4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:16:34:50 +0900] "GET /resources/images/bs.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:16:34:50 +0900] "GET /resources/images/cc.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:16:34:50 +0900] "GET /resources/images/kj.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:16:34:50 +0900] "GET /resources/images/kw.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:16:34:50 +0900] "GET /resources/images/jj.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:16:34:50 +0900] "GET /resources/images/notice01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:16:34:50 +0900] "GET /resources/images/qna01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:16:34:50 +0900] "GET /resources/images/call01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:16:34:50 +0900] "GET /resources/images/calendar.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:16:34:50 +0900] "GET /resources/images/person.png HTTP/1.1" 304 -
